OutputType_Clean,days_since_publication,cited_by_count
Journal Article Publication,10126,11324.0
Journal Article Publication,6339,5461.0
Journal Article Publication,2156,3853.0
Journal Article Publication,8318,3842.0
Journal Article Publication,4235,3393.0
Journal Article Publication,6610,3365.0
Journal Article Publication,3568,2743.0
Other Publication,8030,2607.0
Journal Article Publication,6880,2496.0
Journal Article Publication,4471,2485.0
Journal Article Publication,3887,2386.0
Journal Article Publication,5341,2306.0
Other Publication,7796,2295.0
Book,8229,2182.0
Working Paper,6488,2117.0
Journal Article Publication,10048,1929.0
Journal Article Publication,10413,1859.0
Journal Article Publication,6275,1817.0
Journal Article Publication,7878,1743.0
Journal Article Publication,9013,1574.0
Journal Article Publication,7678,1546.0
Working Paper,10718,1538.0
Journal Article Publication,1923,1534.0
Journal Article Publication,7949,1495.3333333333333
Journal Article Publication,6519,1486.5
Journal Article Publication,1678,1452.0
Journal Article Publication,7765,1444.6666666666667
Journal Article Publication,4296,1417.5
Journal Article Publication,8832,1356.0
Journal Article Publication,1931,1352.0
Journal Article Publication,7675,1346.3333333333333
Other Publication,10444,1205.0
Journal Article Publication,5180,1170.0
Journal Article Publication,10263,1161.0
Journal Article Publication,12179,1097.0
Other Publication,3231,1029.0
Journal Article Publication,2255,1028.0
Dataset,6700,1028.0
Journal Article Publication,784,1001.5
Journal Article Publication,8192,954.0
Journal Article Publication,10321,927.0
Journal Article Publication,3193,904.0
Journal Article Publication,5457,829.0
Journal Article Publication,5040,823.0
Journal Article Publication,5453,819.6666666666666
Journal Article Publication,8436,811.0
Journal Article Publication,3429,802.0
Journal Article Publication,11010,793.0
Journal Article Publication,3406,769.0
Other Publication,4001,755.0
Journal Article Publication,5846,727.0
Journal Article Publication,13123,726.0
Journal Article Publication,4630,722.0
Journal Article Publication,5645,695.0
Journal Article Publication,5423,674.0
Journal Article Publication,5808,642.0
Journal Article Publication,4423,635.0
Journal Article Publication,7406,633.0
Journal Article Publication,6304,625.0
Book,9075,624.0
Journal Article Publication,1681,617.0
Journal Article Publication,8406,607.0
Journal Article Publication,5772,577.0
Journal Article Publication,10505,570.0
Journal Article Publication,8029,566.0
Journal Article Publication,2227,545.0
Book,7432,543.0
Journal Article Publication,5081,538.0
Journal Article Publication,6549,532.0
Journal Article Publication,7491,528.0
Journal Article Publication,4520,523.0
Journal Article Publication,5768,489.0
Journal Article Publication,4541,484.0
Journal Article Publication,6084,481.0
Journal Article Publication,4051,481.0
Journal Article Publication,8891,474.5
Journal Article Publication,6556,473.0
Journal Article Publication,7201,466.0
Journal Article Publication,5635,457.0
Other Publication,3797,457.0
Working Paper,5392,454.0
Journal Article Publication,2381,452.0
Journal Article Publication,5766,450.0
Journal Article Publication,3595,445.0
Book,12271,444.0
Journal Article Publication,7712,438.5
Working Paper,8192,434.0
Journal Article Publication,11693,426.0
Journal Article Publication,6244,424.0
Journal Article Publication,3933,420.0
Journal Article Publication,1756,419.0
Journal Article Publication,5382,412.0
Journal Article Publication,2604,411.0
Journal Article Publication,4011,407.0
