ProjectID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectStartYear,ProjectEndYear,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages,OutputType_Clean,Data Source,TitleLen,JournalArticle,YearsSinceStart,RDC_Atlanta,RDC_Austin,RDC_Baruch,RDC_Berkeley,RDC_Boston,RDC_CMU,RDC_Chicago,RDC_Colorado,RDC_Cornell,RDC_Dallas,RDC_Fed Board,RDC_Florida,RDC_Georgetown,RDC_Irvine,RDC_Kansas City,RDC_Kentucky,RDC_Maryland,RDC_Michigan,RDC_Minnesota,RDC_Missouri,RDC_NCRN,RDC_Nebraska,RDC_Penn State,RDC_Philadelphia,RDC_Seattle,RDC_Stanford,RDC_Texas,RDC_Triangle,RDC_UCLA,RDC_UIUC,RDC_USC,RDC_Utah,RDC_Washington,RDC_Wisconsin,RDC_Yale,Economics_Labor
1410.0,Completed,The Effects of Adjustment Costs on Market Competition,Chicago,2015.0,2018.0,German Bet,Vulnerable Jobs and the Wage Effects of Import Competition,"Cooke, Abigail M.; Kemeny, Thomas; Rigby, David L.. 2019. ""Vulnerable Jobs and the Wage Effects of Import Competition"". Industrial Relations A Journal of Economy and Society, 58(3), pp. 484-521. . https://doi.org/https://doi.org/10.1111/irel.12240",article,published,Industrial Relations A Journal of Economy and Society,2019.0,6,58.0,3,484-521,Journal Article Publication,New,58.0,1,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,no
685.0,Completed,The Effect of Health Care Costs on the Growth and Survival of Small Business,Washington,2008.0,2010.0,Adela Luque,Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data,"Luque, Adela; Bhaskar, Renuka; Rastogi, Sonya; Noon, James. 2017. ""Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data"". No Source, , pp. . . https://doi.org/https://doi.org/10.31235/osf.io/ktmz9",preprint,published,,2017.0,1,,,,Journal Article Publication,New,100.0,1,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,no
685.0,Completed,The Effect of Health Care Costs on the Growth and Survival of Small Business,Washington,2008.0,2010.0,Adela Luque,2010 American Community Survey Match Study,"Luque, Adela; Bhaskar, Renuka. 2017. ""2010 American Community Survey Match Study"". No Source, , pp. . . https://doi.org/https://doi.org/10.31235/osf.io/pfvhu",preprint,published,,2017.0,2,,,,Journal Article Publication,New,42.0,1,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,no
2104.0,Active,Firm Behavior and Demand for Skilled Labor,Fed Board,2020.0,,Nicolas Morales Garcia,The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery,"Brinatti, Agostina; Chen, Mingyu; Mahajan, Parag; Morales, Nicolas; Shih, Kevin. 2023. ""The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery"". SSRN Electronic Journal, , pp. . . https://doi.org/https://doi.org/10.2139/ssrn.4431106",article,published,SSRN Electronic Journal,2023.0,1,,,,Journal Article Publication,New,78.0,1,3.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,no
1746.0,Completed,Weighting Factor Development Using the Census of Retail Trade,Triangle,2018.0,2022.0,Satkartar Kinney,Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,"Kinney, Satkartar K.; Karr, Alan F.. 2018. ""Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey"". Journal of Privacy and Confidentiality, 8(1), pp. . . https://doi.org/https://doi.org/10.29012/jpc.661",article,published,Journal of Privacy and Confidentiality,2018.0,12,8.0,1,,Journal Article Publication,New,78.0,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,no
560.0,Completed,Using Synthetic Data in the American Community Survey,Triangle,2006.0,2007.0,Jerome P Reiter,Simultaneous Edit-Imputation for Continuous Microdata,"Kim, Hang J.; Cox, Lawrence H.; Karr, Alan F.; Reiter, Jerome P.; Wang, Quanli. 2015. ""Simultaneous Edit-Imputation for Continuous Microdata"". Journal of the American Statistical Association, 110(511), pp. 987-999. . https://doi.org/https://doi.org/10.1080/01621459.2015.1040881",article,published,Journal of the American Statistical Association,2015.0,6,110.0,511,987-999,Journal Article Publication,New,53.0,1,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,no
594.0,Completed,Starting School at Four: The Effects of Universal Pre-Kindergarten on Children and Mothers,Triangle,2006.0,2009.0,Maria D Fitzpatrick,Universal Mechanism to Link Multiple Datasets with Synthetic Populations for Clinical and Epidemiological Research,"Bobashev, Georgiy; Hadley, Emily; Karr, Alan F.; Kery, Caroline; Rineer, James. 2021. ""Universal Mechanism to Link Multiple Datasets with Synthetic Populations for Clinical and Epidemiological Research"". Research Square (Research Square), , pp. . . https://doi.org/https://doi.org/10.21203/rs.3.rs-456335/v1",preprint,published,Research Square (Research Square),2021.0,5,,,,Journal Article Publication,New,114.0,1,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,no
2086.0,Completed,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach,Triangle,2019.0,2023.0,Jan M Eberth,Predictors of Autism Spectrum Disorder and ADHD: Results from the National Survey of Children's Health,"Federico, Alexis; Zgodic, Anja; Flory, Kate; Hantman, Rachel M.; Eberth, Jan M.; McLain, Alexander C.; Bradshaw, Jessica. 2023. ""Predictors of Autism Spectrum Disorder and ADHD: Results from the National Survey of Children's Health"". Disability and health journal, 17(1), pp. 101512-101512. . https://doi.org/https://doi.org/10.1016/j.dhjo.2023.101512",article,published,Disability and health journal,2023.0,8,17.0,1,101512-101512,Journal Article Publication,New,102.0,1,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,no
2086.0,Completed,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach,Triangle,2019.0,2023.0,Jan M Eberth,Examining the association between rurality and positive childhood experiences among a national sample,"Crouch, Elizabeth; Probst, Janice C.; Shi, Sylvia; McLain, Alexander C.; Eberth, Jan M.; Brown, Monique J.; Merrell, Melinda A.; Bennett, Kevin J.. 2022. ""Examining the association between rurality and positive childhood experiences among a national sample"". The Journal of Rural Health, 39(1), pp. 105-112. . https://doi.org/https://doi.org/10.1111/jrh.12708",article,published,The Journal of Rural Health,2022.0,8,39.0,1,105-112,Journal Article Publication,New,101.0,1,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,no
2697.0,Active,Can Unexploited Monopsony Power be Used to Counteract Income Tax Policy?,Atlanta,2023.0,,Alexander Siebert,Changes in the Incidence and Duration of Periods without Insurance,"Cutler, David; Gelber, Alexander. 2009. ""Changes in the Incidence and Duration of Periods without Insurance"". New England Journal of Medicine, 360(17), pp. 1740-1748. . https://doi.org/https://doi.org/10.1056/nejmsa0804668",article,published,New England Journal of Medicine,2009.0,4,360.0,17,1740-1748,Journal Article Publication,New,66.0,1,-14.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,no
1802.0,Active,Estimating Two-Sided Assignment Models Using LEHD Data,Colorado,2017.0,,Richard K Mansfield,Health-Related Research Using Confidential U.S. Census Bureau Data,"Hyson, Rosemary; Zawacki, Alice. 2008. ""Health-Related Research Using Confidential U.S. Census Bureau Data"". SSRN Electronic Journal, , pp. . . https://doi.org/https://doi.org/10.2139/ssrn.1440932",article,published,SSRN Electronic Journal,2008.0,1,,,,Journal Article Publication,New,66.0,1,-9.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,no
641.0,Completed,Employer Health Insurance Offer Decisions in An Era of High Deductible Plans,Washington,2009.0,2014.0,Amanda M Pomeroy,Comparing Methods for Imputing Employer Health Insurance Contributions in the Current Population Survey,"Janicki, Hubert P.; O’Hara, Brett; Zawacki, Alice. 2013. ""Comparing Methods for Imputing Employer Health Insurance Contributions in the Current Population Survey"". SSRN Electronic Journal, , pp. . . https://doi.org/https://doi.org/10.2139/ssrn.2318480",article,published,SSRN Electronic Journal,2013.0,1,,,,Journal Article Publication,New,103.0,1,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,no
69.0,Completed,Using the Economic Census to Study the Arts Sector,Washington,2001.0,2002.0,Thomas H Pollak,Using Census business data to augment the MEPS-IC,"McCue, Kristin; Zawacki, Alice. 2006. ""Using Census business data to augment the MEPS-IC"". Journal of Economic and Social Measurement, 31(1-2), pp. 47-67. . https://doi.org/https://doi.org/10.3233/jem-2006-0265",article,published,Journal of Economic and Social Measurement,2006.0,8,31.0,1-2,47-67,Journal Article Publication,New,49.0,1,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,no
607.0,Completed,Scale and Scope Economies and the Organization of the U.S. Advertising and Marketing Services Industry,Boston,2007.0,2012.0,Alvin J Silk,Economic Factors Underlying the Unbundling of Advertising Agency Services,"Arzaghi, Mohammad; Berndt, Ernst R.; Davis, James; Silk, Alvin J.. 2008. ""Economic Factors Underlying the Unbundling of Advertising Agency Services"". No Source, , pp. . . https://doi.org/https://doi.org/10.3386/w14345",preprint,published,,2008.0,9,,,,Journal Article Publication,New,73.0,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,no
