ProjID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectYearStarted,ProjectYearEnded,ProjectPI,OutputTitle,OutputType,OutputStatus,OutputYear,OutputVolume,OutputNumber,OutputPages,doi,title,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,OutputVenue,OutputMonth,OutputBibliography,matched_dataset_terms
1410.0,Completed,The Effects of Adjustment Costs on Market Competition,Chicago,2015.0,2018.0,German Bet,Vulnerable Jobs and the Wage Effects of Import Competition,article,published,2019.0,58,3,484-521,https://doi.org/10.1111/irel.12240,Vulnerable Jobs and the Wage Effects of Import Competition,"Do job characteristics modulate the relationship between import competition and workers’ wages? Using pooled cross‐sectional, linked employee‐establishment Census Bureau microdata and O* NET occupational characteristics, the paper models import competition and wages for more than 1.6 million individuals, grouped by job vulnerability defined by routineness, analytic complexity, and interpersonal interaction. Results show import competition is associated with wages that are: lower in routine and less complex jobs; higher in nonroutine and complex jobs; and higher for the highest and lowest levels of interpersonal interaction. This demonstrates the importance of accounting for occupational characteristics in understanding how trade and wages relate.",2019,2019-06-10,1,Abigail M. Cooke; Thomas Kemeny; David L. Rigby,"University at Buffalo, State University of New York; University of London; Universidad de Londres; University of London; Universidad de Londres",Employment and Welfare Studies; Labor market dynamics and wage inequality; Global trade and economics,Industrial Relations A Journal of Economy and Society,06,"Cooke, Abigail M.; Kemeny, Thomas; Rigby, David L.. 2019. ""Vulnerable Jobs and the Wage Effects of Import Competition"". Industrial Relations A Journal of Economy and Society, 58(3), pp. 484-521. . https://doi.org/https://doi.org/10.1111/irel.12240",true
685.0,Completed,The Effect of Health Care Costs on the Growth and Survival of Small Business,Washington,2008.0,2010.0,Adela Luque,Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data,preprint,published,2017.0,,,,https://doi.org/10.31235/osf.io/ktmz9,Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data,"The U.S. Census Bureau is researching possible uses of administrative records in decennial census and survey operations. The 2010 Census Match Study and American Community Survey (ACS) Match Study represent recent efforts by the Census Bureau to evaluate the extent to which administrative records provide data on persons and addresses in the 2010 Census and 2010 ACS. The 2010 Census Match Study also examines demographic response data collected in administrative records. Building on this analysis, we match data from the 2010 ACS to federal administrative records and third party data as well as to previous census data and examine administrative records coverage and agreement of ACS age, sex, race, and Hispanic origin responses. We find high levels of coverage and agreement for sex and age responses and variable coverage and agreement across race and Hispanic origin groups. These results are similar to findings from the 2010 Census Match Study.",2017,2017-01-11,5,Adela Luque; Renuka Bhaskar; Sonya Rastogi; James Noon,,"Health disparities and outcomes; Gender, Labor, and Family Dynamics; Healthcare Policy and Management",,01,"Luque, Adela; Bhaskar, Renuka; Rastogi, Sonya; Noon, James. 2017. ""Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data"". No Source, , pp. . . https://doi.org/https://doi.org/10.31235/osf.io/ktmz9",true
685.0,Completed,The Effect of Health Care Costs on the Growth and Survival of Small Business,Washington,2008.0,2010.0,Adela Luque,2010 American Community Survey Match Study,preprint,published,2017.0,,,,https://doi.org/10.31235/osf.io/pfvhu,2010 American Community Survey Match Study,"Using administrative records data from federal government agencies and commercial sources,the 2010 ACS Match Study measures administrative records coverage of 2010 ACS addresses,persons, and persons at addresses at different levels of geography as well as by demographiccharacteristics and response mode. The 2010 ACS Match Study represents a continuation of theresearch undertaken in the 2010 Census Match Study, the first national‐level evaluation ofadministrative records data coverage.Preliminary results indicate that administrative records provide substantial coverage foraddresses and persons in the 2010 ACS (92.7 and 92.1 percent respectively), and less extensivethough substantial coverage, for person‐address pairs (74.3 percent). In addition, somevariation in address, person and/or person‐address coverage is found across demographic andresponse mode groups. This research informs future uses of administrative records in surveyand decennial census operations to address the increasing costs of data collection and decliningresponse rates.",2017,2017-02-14,5,Adela Luque; Renuka Bhaskar,United States Census Bureau; United States Census Bureau,"Urban, Neighborhood, and Segregation Studies; Homelessness and Social Issues; Health disparities and outcomes",,02,"Luque, Adela; Bhaskar, Renuka. 2017. ""2010 American Community Survey Match Study"". No Source, , pp. . . https://doi.org/https://doi.org/10.31235/osf.io/pfvhu",true
2104.0,Active,Firm Behavior and Demand for Skilled Labor,Fed Board,2020.0,,Nicolas Morales Garcia,The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery,article,published,2023.0,,,,https://doi.org/10.2139/ssrn.4431106,The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery,"We study how random variation in the availability of highly educated, foreign-born workers impacts firm performance and recruitment behavior. We combine two rich data sources: 1) administrative employer-employee matched data from the US Census Bureau; and 2) firm-level information on the first large-scale H-1B visa lottery in 2007. Using an event-study approach, we find that lottery wins lead to increases in firm hiring of college- educated, immigrant labor along with increases in scale and productivity. Skill-intensive, high-paying firms expand the most after winning the H-1B lottery. We find limited evidence of displacement effects on native-born, college-educated workers.",2023,2023-01-01,14,Agostina Brinatti; Mingyu Chen; Parag Mahajan; Nicolas Morales; Kevin Shih,"University of Michigan; IZA - Institute of Labor Economics; University of Delaware; Federal Reserve Bank of Richmond; Queens College, CUNY","Migration, Ethnicity, and Economy; Names, Identity, and Discrimination Research; Franchising Strategies and Performance",SSRN Electronic Journal,01,"Brinatti, Agostina; Chen, Mingyu; Mahajan, Parag; Morales, Nicolas; Shih, Kevin. 2023. ""The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery"". SSRN Electronic Journal, , pp. . . https://doi.org/https://doi.org/10.2139/ssrn.4431106",true
1746.0,Completed,Weighting Factor Development Using the Census of Retail Trade,Triangle,2018.0,2022.0,Satkartar Kinney,Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,article,published,2018.0,8,1,,https://doi.org/10.29012/jpc.661,Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,"Statistical agencies frequently publish microdata that have been altered to protect condentiality. Such data retain utility for many types of broad analyses but can yield biased or insufficiently precise results in others. Research access to de-identied versions of the restricted-use data with little or no alteration is often possible, albeit costly and time-consuming. We investigate the advantages and disadvantages of public-use and restricted-use data from the American Community Survey (ACS) in constructing a wage index. The public-use data used were Public Use Microdata Samples, while the restricted-use data were accessed via a Federal Statistical Research Data Center. We discuss the advantages and disadvantages of each data source and compare estimated CWIs and standard errors at the state and labor market levels. We find the results from the publicly available data are generally good relative to the restricted-use data, with greater similarity for larger areas and less similarity for smaller areas. Standard errors are higher in the public-used data but may still be underestimated.",2018,2018-12-24,1,Satkartar K. Kinney; Alan F. Karr,RTI International; RTI International,Healthcare Policy and Management; Survey Methodology and Nonresponse; Advanced Causal Inference Techniques,Journal of Privacy and Confidentiality,12,"Kinney, Satkartar K.; Karr, Alan F.. 2018. ""Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey"". Journal of Privacy and Confidentiality, 8(1), pp. . . https://doi.org/https://doi.org/10.29012/jpc.661",true
560.0,Completed,Using Synthetic Data in the American Community Survey,Triangle,2006.0,2007.0,Jerome P Reiter,Simultaneous Edit-Imputation for Continuous Microdata,article,published,2015.0,110,511,987-999,https://doi.org/10.1080/01621459.2015.1040881,Simultaneous Edit-Imputation for Continuous Microdata,"Hang J. Kim, Lawrence H. Cox, Alan F. Karr, Jerome P. Reiter & Quanli WangHang J. Kim is Assistant Professor, Department of Mathematical Sciences, University of Cincinnati, Cincinnati, OH 45221, formerly Postdoctoral Associate, Department of Statistical Science, Duke University, Durham, NC 27708, and National Institute of Statistical Sciences, Research Triangle Park, NC 27709 (E-mail: hang.kim0@uc.edu). Lawrence H. Cox is Assistant Director for Official Statistics, National Institute of Statistical Sciences, Research Triangle Park, NC 27709 (E-mail: cox@niss.org). Alan F. Karr is Director, Center of Excellence for Complex Data Analysis, RTI International, Research Triangle Park, NC 27709 (E-mail: karr@rti.org). Jerome P. Reiter (E-mail: jerry@stat.duke.edu) is Mrs. Alexander Hehmeyer Professor and Quanli Wang (E-mail: quanli@stat.duke.edu) is Associate in Research, Department of Statistical Science, Duke University, Durham, NC 27708. This research was supported by the National Science Foundation (SES-11-31897). Any opinions and conclusions expressed herein are those of the authors and do not necessarily represent the views of the U.S. Census Bureau or the National Science Foundation. All results have been reviewed to ensure that no confidential information is disclosed.",2015,2015-06-24,25,Hang J. Kim; Lawrence H. Cox; Alan F. Karr; Jerome P. Reiter; Quanli Wang,,Bayesian Methods and Mixture Models; Statistical Methods and Bayesian Inference; Statistical Methods and Inference,Journal of the American Statistical Association,06,"Kim, Hang J.; Cox, Lawrence H.; Karr, Alan F.; Reiter, Jerome P.; Wang, Quanli. 2015. ""Simultaneous Edit-Imputation for Continuous Microdata"". Journal of the American Statistical Association, 110(511), pp. 987-999. . https://doi.org/https://doi.org/10.1080/01621459.2015.1040881",true
594.0,Completed,Starting School at Four: The Effects of Universal Pre-Kindergarten on Children and Mothers,Triangle,2006.0,2009.0,Maria D Fitzpatrick,Universal Mechanism to Link Multiple Datasets with Synthetic Populations for Clinical and Epidemiological Research,preprint,published,2021.0,,,,https://doi.org/10.21203/rs.3.rs-456335/v1,Universal Mechanism to Link Multiple Datasets with Synthetic Populations for Clinical and Epidemiological Research,"Abstract Many modern predictive models require knowledge acquired from multiple datasets, yet data linkage can be a substantial challenge. Datasets exist in a wide variety of formats and linking them directly is often infeasible or restricted by privacy requirements. One solution is to map variables from different datasets onto a synthetic population, producing a dataset that contains information from multiple sources sufficient for reliable statistical inference with quantifiable uncertainty. This approach is universal because it is applicable to a broad range of datasets and has good potential for privacy protection.We consider datasets with information about individuals and describe three methods for building linked synthetic data: resampling, modeling predictors independently, and modeling predictors sequentially. We apply these methods to the prediction of the prevalence of Florida youth vaping by state, county, and census tract using the 2018 Florida Youth Substance Abuse Survey (FYSAS) and the 5-Year American Community Survey (ACS). We find that resampling and sequential modeling most closely approximate the 2018 survey results, and that the sequential model captures more variability. We find that the order of predicting the variables in sequential modeling does not substantially impact the outcome.",2021,2021-05-06,0,Georgiy Bobashev; Emily Hadley; Alan F. Karr; Caroline Kery; James Rineer,RTI International; RTI International; RTI International; RTI International; RTI International,demographic modeling and climate adaptation; Health disparities and outcomes; Substance Abuse Treatment and Outcomes,Research Square (Research Square),05,"Bobashev, Georgiy; Hadley, Emily; Karr, Alan F.; Kery, Caroline; Rineer, James. 2021. ""Universal Mechanism to Link Multiple Datasets with Synthetic Populations for Clinical and Epidemiological Research"". Research Square (Research Square), , pp. . . https://doi.org/https://doi.org/10.21203/rs.3.rs-456335/v1",true
2086.0,Completed,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach,Triangle,2019.0,2023.0,Jan M Eberth,Predictors of Autism Spectrum Disorder and ADHD: Results from the National Survey of Children's Health,article,published,2023.0,17,1,101512-101512,https://doi.org/10.1016/j.dhjo.2023.101512,Predictors of Autism Spectrum Disorder and ADHD: Results from the National Survey of Children's Health,"Autism spectrum disorder (ASD) and Attention-Deficit/Hyperactivity Disorder (ADHD) are two of the most common neurodevelopmental disorders with comorbidity rates of up to 70%. Population-based studies show differential rates of ADHD and ASD diagnosis based on sociodemographic variables. However, no studies to date have examined the role of sociodemographic factors on the likelihood of receiving an ADHD, ASD, or comorbid ASD+ADHD diagnosis in a large, nationally representative sample. This study aims to examine the impact of sociodemographic factors on the odds of experiencing ASD-only, ADHD-only, or both diagnoses for children in the United States. Using a mixed effects multinomial logistic modeling approach and data from the 2016-2018 National Survey of Children's Health, we estimated the association between sociodemographic variables and the log odds of being in each diagnostic group. Sociodemographic variables were differentially related to the three diagnostic groups: ASD-only, ADHD-only, and ASD+ADHD. Compared to girls, boys experienced higher odds of all three diagnosis categories. White children had higher odds of having an ADHD-only or ASD+ADHD diagnosis compared to Non-Hispanic (NH) Black, NH multiple/other race, and Hispanic children. Odds ratios for levels of parent education, household income, and birth characteristics showed varying trends across diagnostic groups. Overall, our findings point to unique sets of risk factors differentially associated ASD and ADHD, with lower income standing out as an important factor associated with receiving a diagnosis of ASD+ADHD.",2023,2023-08-02,10,Alexis Federico; Anja Zgodic; Kate Flory; Rachel M. Hantman; Jan M. Eberth; Alexander C. McLain; Jessica Bradshaw,University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; Drexel University; University of South Carolina; University of South Carolina; University of South Carolina,Attention Deficit Hyperactivity Disorder; Autism Spectrum Disorder Research; Infant Development and Preterm Care,Disability and health journal,08,"Federico, Alexis; Zgodic, Anja; Flory, Kate; Hantman, Rachel M.; Eberth, Jan M.; McLain, Alexander C.; Bradshaw, Jessica. 2023. ""Predictors of Autism Spectrum Disorder and ADHD: Results from the National Survey of Children's Health"". Disability and health journal, 17(1), pp. 101512-101512. . https://doi.org/https://doi.org/10.1016/j.dhjo.2023.101512",true
2086.0,Completed,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach,Triangle,2019.0,2023.0,Jan M Eberth,Examining the association between rurality and positive childhood experiences among a national sample,article,published,2022.0,39,1,105-112,https://doi.org/10.1111/jrh.12708,Examining the association between rurality and positive childhood experiences among a national sample,"Abstract Purpose The present study examines the association between rurality and positive childhood experiences (PCEs) among children and adolescents across all 50 states and the District of Columbia. Recent work has quantified the prevalence of PCEs at the national level, but these studies have been based on public use data files, which lack rurality information for 19 states. Methods Data for this cross‐sectional analysis were drawn from 2016 to 2018 National Survey of Children's Health (NSCH), using the full data set with restricted geographic data (n = 63,000). Descriptive statistics and bivariate analyses were used to calculate proportions and unadjusted associations. Multivariable regression models were used to examine the association between residence and the PCEs that were significant in the bivariate analyses. Findings Rural children were more likely than urban children to be reported as having PCEs: volunteering in their community (aOR 1.29; 95% CI 1.18‐1.42), having a guiding mentor (aOR 1.75; 95% CI 1.45‐2.10), residing in a safe neighborhood (aOR 1.97; 95% CI 1.54‐2.53), and residing in a supportive neighborhood (aOR 1.10; 95% CI 1.01‐1.20) than urban children. Conclusions The assessment of rural‐urban differences in PCEs using the full NSCH is a unique opportunity to quantify exposure to PCEs. Given the higher baseline rate of PCEs in rural than urban children, programs to increase opportunities for PCEs in urban communities are warranted. Future research should delve further into whether these PCEs translate to better mental health outcomes in rural children.",2022,2022-08-27,8,Elizabeth Crouch; Janice C. Probst; Sylvia Shi; Alexander C. McLain; Jan M. Eberth; Monique J. Brown; Melinda A. Merrell; Kevin J. Bennett,University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina,Homelessness and Social Issues; Child Abuse and Trauma; Early Childhood Education and Development,The Journal of Rural Health,08,"Crouch, Elizabeth; Probst, Janice C.; Shi, Sylvia; McLain, Alexander C.; Eberth, Jan M.; Brown, Monique J.; Merrell, Melinda A.; Bennett, Kevin J.. 2022. ""Examining the association between rurality and positive childhood experiences among a national sample"". The Journal of Rural Health, 39(1), pp. 105-112. . https://doi.org/https://doi.org/10.1111/jrh.12708",true
2697.0,Active,Can Unexploited Monopsony Power be Used to Counteract Income Tax Policy?,Atlanta,2023.0,,Alexander Siebert,Changes in the Incidence and Duration of Periods without Insurance,article,published,2009.0,360,17,1740-1748,https://doi.org/10.1056/nejmsa0804668,Changes in the Incidence and Duration of Periods without Insurance,"Policymakers have recently proposed ways of providing health care coverage for an increased number of uninsured persons. However, there are few data that show how the incidence and duration of periods in which persons do not have insurance have changed over time.We used two data sets from the Survey of Income and Program Participation of the U.S. Census Bureau: one that covered the period from 1983 through 1986 (25,946 persons), and another that covered the period from 2001 through 2004 (40,282 persons). For each set of years, we estimated the probability that a person would be uninsured for some period of time and the probability that a person would subsequently obtain private or public insurance. We also estimated the probabilities that persons in various demographic groups would become uninsured over the course of a year and would remain uninsured for various amounts of time.The percentage of the population that lost insurance in a 12-month period increased from 19.8% in 1983-1986 to 21.8% in 2001-2004 (P=0.04). The percentage that was uninsured for a period of time increased markedly among persons with the lowest educational level and predominantly represented loss of private coverage. The percentage of new uninsured periods that ended within 24 months increased from 73.8% to 79.7% between the two study periods (P<0.001); increases were seen in all age groups and among persons of all educational levels. Transition from no insurance to private insurance decreased from 65.2% to 59.2% (P<0.001). Transition from no insurance to public insurance increased from 8.7% to 20.4% (P<0.001).As compared with the years from 1983 through 1986, from 2001 through 2004, more people, particularly those with the lowest educational level, had periods in which they were not insured. The periods without insurance were shorter in 2001-2004 than they were in 1983-1986, since an increase in transitions to public coverage offset a reduction in transitions to private coverage. Our results portend difficulties if private coverage continues to decline and is not offset by further expansions of public insurance.",2009,2009-04-22,37,David Cutler; Alexander Gelber,Harvard University; National Bureau of Economic Research,Healthcare Policy and Management; Global Health Care Issues; Primary Care and Health Outcomes,New England Journal of Medicine,04,"Cutler, David; Gelber, Alexander. 2009. ""Changes in the Incidence and Duration of Periods without Insurance"". New England Journal of Medicine, 360(17), pp. 1740-1748. . https://doi.org/https://doi.org/10.1056/nejmsa0804668",true
