days_since_publication,cited_by_count,ProjectTitle
2157,1,The Effects of Adjustment Costs on Market Competition
3037,5,The Effect of Health Care Costs on the Growth and Survival of Small Business
3003,5,The Effect of Health Care Costs on the Growth and Survival of Small Business
856,14,Firm Behavior and Demand for Skilled Labor
2325,1,Weighting Factor Development Using the Census of Retail Trade
3604,25,Using Synthetic Data in the American Community Survey
1461,0,Starting School at Four: The Effects of Universal Pre-Kindergarten on Children and Mothers
643,10,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach
983,8,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach
5858,37,Can Unexploited Monopsony Power be Used to Counteract Income Tax Policy?
6335,1,Estimating Two-Sided Assignment Models Using LEHD Data
4508,6,Employer Health Insurance Offer Decisions in An Era of High Deductible Plans
6840,5,Using the Economic Census to Study the Arts Sector
6091,11,Scale and Scope Economies and the Organization of the U.S. Advertising and Marketing Services Industry
5969,3,Using the Economic Census to Study the Arts Sector
1617,2,"Credit Market Frictions, Creditor's Rights, and the Real Economy"
4477,9,Scale and Scope Economies and the Organization of the U.S. Advertising and Marketing Services Industry
1952,0,Scale and Scope Economies and the Organization of the U.S. Advertising and Marketing Services Industry
2216,5,How Long Will They Stay? Foreign-Born Out-Migration from New U.S. Destinations
4418,18,Survey of Industrial Research and Development: Evaluation of Imputation Methods
5239,1,Using Synthetic Data in the American Community Survey
3047,0,Using Synthetic Data in the American Community Survey
3413,18,Financial Constraints and the Margins of Misallocation Across Firms
2879,35,Using Synthetic Data in the American Community Survey
4843,19,Using Synthetic Data in the American Community Survey
3800,24,Characteristics of Civil Court Participants
2408,24,Characteristics of Civil Court Participants
2287,18,"Firm Organization, Internal Capital Markets and Merger and Acquisition Activity"
3839,1,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
2399,3,"Firm Organization, Internal Capital Markets and Merger and Acquisition Activity"
2693,1,The Relationship between Military Service and STEM Outcomes: Integrating Data from Three Federal Statistical Agencies
1989,0,Health and Migration in the Continental United States
3112,64,"Migration, Gentrification, and the Residential Integration of Same-Sex Couples: An Analysis of Census Microdata"
1078,19,The Role of Industry Classification and Firm Structure in the Estimation of Research and Development Expenditures
1180,0,The Role of Industry Classification and Firm Structure in the Estimation of Research and Development Expenditures
3967,11,Longitudinal Career Paths of Interdisciplinary Graduate Students
2562,18,Longitudinal Career Paths of Interdisciplinary Graduate Students
3576,8,Longitudinal Career Paths of Interdisciplinary Graduate Students
1742,1,Longitudinal Career Paths of Interdisciplinary Graduate Students
4508,0,Longitudinal Career Paths of Interdisciplinary Graduate Students
832,2,Housing Recovery in New Orleans: A Multi-Level Approach to Vulnerability and Resilience (AHS Small Grants Project)
6792,25,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
